Time,N,Answer,Ratio,Type
1200.07,14,19352,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
1.11,4,80,1,approx
5.09,4,80,1,approx
10.19,4,80,1,approx
30.12,4,80,1,approx
60.18,4,80,1,approx
300.22,4,80,1,approx
600.21,4,80,1,approx
1200.18,4,80,1,approx
1.03,5,24959,1,approx
5.06,5,24959,1,approx
10.14,5,24959,1,approx
30.12,5,24959,1,approx
60.22,5,24959,1,approx
300.14,5,24959,1,approx
600.18,5,24959,1,approx
1200.03,5,24959,1,approx
1.19,6,16418,1,approx
5.1,6,16418,1,approx
10.08,6,16418,1,approx
30.18,6,16418,1,approx
60.18,6,16418,1,approx
300.09,6,16418,1,approx
600.22,6,16418,1,approx
1200.05,6,16418,1,approx
1.26,7,24769,1,approx
5.11,7,24769,1,approx
10.05,7,24769,1,approx
30.08,7,24769,1,approx
60.09,7,24769,1,approx
300.15,7,24769,1,approx
600.26,7,24769,1,approx
1200.23,7,24769,1,approx
1.22,8,22562,1,approx
5.06,8,22562,1,approx
10.04,8,22562,1,approx
30.21,8,22562,1,approx
60.18,8,22562,1,approx
300.22,8,22562,1,approx
600.1,8,22562,1,approx
1200.11,8,22562,1,approx
1.2,9,19438,1.372643175,approx
5.04,9,14161,1,approx
10.05,9,14161,1,approx
30.23,9,14161,1,approx
60.14,9,14161,1,approx
300.19,9,14161,1,approx
600.03,9,14161,1,approx
1200.19,9,14161,1,approx
1.04,10,23764,1.109482235,approx
5.03,10,21634,1.010037817,approx
10.18,10,21419,1,approx
30.12,10,21419,1,approx
60.08,10,21419,1,approx
300.15,10,21419,1,approx
600.21,10,21419,1,approx
1200.22,10,21419,1,approx
1.04,11,18230,1.337392708,approx
5.1,11,15971,1.171667523,approx
10.09,11,13822,1.014012178,approx
30.11,11,14835,1.088328076,approx
60.09,11,13822,1.014012178,approx
300.04,11,13631,1,approx
600.04,11,13631,1,approx
1200.22,11,13631,1,approx
